time_tag,active,source,proton_speed,proton_temperature,proton_density,proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm,proton_sample_size,alpha_speed,alpha_temperature,alpha_density,alpha_vx_gse,alpha_vy_gse,alpha_vz_gse,alpha_vx_gsm,alpha_vy_gsm,alpha_vz_gsm,alpha_sample_size,max_convergence_flag,max_data_flag,max_error_count_flag,max_processing_flag,max_range_flag,max_sample_count_flag,max_telemetry_flag,overall_quality,record_Id,record_Id_0
2023-08-15T05:03:00,false,DSCOVR,308.8,16920,8.56,-306.9,34.4,-3.1,-306.9,31.5,-14.1,12,,,,,,,,,,,0,0,0,0,0,0,0,0,118,0
2023-08-15T05:02:00,true,ACE,303.4,25919,4.22,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,119,0
2023-08-15T05:02:00,false,DSCOVR,308.7,17013,8.5,-306.7,34.7,-3.4,-306.7,31.7,-14.5,13,,,,,,,,,,,0,0,0,0,0,0,0,0,120,0
2023-08-15T05:01:00,false,DSCOVR,308.8,17067,8.5,-306.8,34.9,-3.7,-306.8,31.8,-14.8,11,,,,,,,,,,,0,0,0,0,0,0,0,0,121,0
2023-08-15T05:00:00,true,ACE,302,24613,4.61,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,122,0
2023-08-15T05:00:00,false,DSCOVR,308.7,17059,8.47,-306.7,34.9,-2.8,-306.7,32.1,-14,11,,,,,,,,,,,0,0,0,0,0,0,0,0,123,0
2023-08-15T04:59:00,true,ACE,301.1,25793,4.95,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,124,0
2023-08-15T04:59:00,false,DSCOVR,308.6,17219,8.53,-306.5,35.8,-2.2,-306.5,33.1,-13.6,8,,,,,,,,,,,0,0,0,0,0,0,0,0,125,0
2023-08-15T04:58:00,true,ACE,301.4,24419,4.75,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,126,0
2023-08-15T04:58:00,false,DSCOVR,308.7,17161,8.43,-306.8,34.5,-2.4,-306.8,31.9,-13.4,11,,,,,,,,,,,0,0,0,0,0,0,0,0,127,0
2023-08-15T04:57:00,true,ACE,303.3,25031,4.6,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,128,0
2023-08-15T04:57:00,false,DSCOVR,309.1,16896,8.55,-307.1,35.2,-1.8,-307.1,32.8,-13.1,9,,,,,,,,,,,0,0,0,0,0,0,0,0,129,0
2023-08-15T04:56:00,false,DSCOVR,310.6,14178,8.35,-308.7,34.3,-2.4,-308.7,31.8,-13.3,12,,,,,,,,,,,0,0,0,0,0,0,0,0,130,0
2023-08-15T04:56:00,true,ACE,302.9,26179,5.01,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,131,0
2023-08-15T04:55:00,true,ACE,304.2,23992,4.94,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,132,0
2023-08-15T04:55:00,false,DSCOVR,309.3,16534,8.64,-307.3,34.6,-1.6,-307.3,32.3,-12.6,10,,,,,,,,,,,0,0,0,0,0,0,0,0,133,0
2023-08-15T04:54:00,false,DSCOVR,309.4,16751,8.66,-307.4,34.9,-1.9,-307.4,32.5,-13,9,,,,,,,,,,,0,0,0,0,0,0,0,0,134,0
2023-08-15T04:54:00,true,ACE,303.6,23259,4.85,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,135,0
2023-08-15T04:53:00,true,ACE,303.4,24954,4.62,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,136,0
2023-08-15T04:53:00,false,DSCOVR,309.2,16872,8.71,-307.1,35.9,-2.3,-307.1,33.3,-13.6,11,,,,,,,,,,,0,0,0,0,0,0,0,0,137,0
2023-08-15T04:52:00,true,ACE,303.9,24840,4.82,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,138,0
2023-08-15T04:52:00,false,DSCOVR,309.4,16730,8.63,-307.4,35.2,-2.6,-307.4,32.5,-13.7,11,,,,,,,,,,,0,0,0,0,0,0,0,0,139,0
2023-08-15T04:51:00,true,ACE,304,24089,4.95,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,140,0
2023-08-15T04:51:00,false,DSCOVR,309.4,16744,8.56,-307.4,34.9,-1.7,-307.4,32.6,-12.7,10,,,,,,,,,,,0,0,0,0,0,0,0,0,141,0
2023-08-15T04:50:00,true,ACE,303.7,25825,4.56,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,142,0
2023-08-15T04:50:00,false,DSCOVR,309.6,16774,8.52,-307.5,35.8,-1.5,-307.5,33.5,-12.8,9,,,,,,,,,,,0,0,0,0,0,0,0,0,143,0
2023-08-15T04:49:00,false,DSCOVR,308.8,17264,8.53,-306.8,35.2,-2.5,-306.8,32.6,-13.6,12,,,,,,,,,,,0,0,0,0,0,0,0,0,144,0
2023-08-15T04:49:00,true,ACE,301.2,25860,5,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,145,0
2023-08-15T04:48:00,false,DSCOVR,308.6,17419,8.62,-306.7,34.5,-2.2,-306.7,32.1,-13,10,,,,,,,,,,,0,0,0,0,0,0,0,0,146,0
2023-08-15T04:48:00,true,ACE,302.6,22788,4.61,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,147,0
2023-08-15T04:47:00,true,ACE,303.2,21549,4.89,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,148,0
2023-08-15T04:47:00,false,DSCOVR,307.7,18353,8.87,-305.8,34.2,-2.5,-305.8,31.7,-13.2,10,,,,,,,,,,,0,0,0,0,0,0,0,0,149,0
2023-08-15T04:46:00,false,DSCOVR,307.2,18491,9.08,-305.4,32.9,-2.1,-305.4,30.5,-12.3,12,,,,,,,,,,,0,0,0,0,0,0,0,0,150,0
2023-08-15T04:46:00,true,ACE,303.6,23312,4.7,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,151,0
2023-08-15T04:45:00,false,DSCOVR,306.6,18776,9.12,-304.7,33.8,-3,-304.7,31.2,-13.5,10,,,,,,,,,,,0,0,0,0,0,0,0,0,152,0
2023-08-15T04:45:00,true,ACE,303.2,23056,5.5,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,153,0
