time_tag,Obsdate,Obstime,Station,Observatory,Type,Quality,Region,Latitude,Report_Longitude,Longitude,Report_Location,Location,Carlon,Extent,Area,Numspot,Zurich,Penumbra,Compact,Spotclass,Magcode,Magclass,Obsid,Report_Status,ValidSpotClass,record_Id,record_Id_0
2023-08-04T02:05:00,2023-08-04T00:00:00,0205,94302,LEA,spt,2,3388,-22,-32,-45,S22W32,S22W45,77,2,10,2,2,0,2,Bxo,2,B,245,2,1,109,0
2023-08-04T02:05:00,2023-08-04T00:00:00,0205,94302,LEA,spt,2,3380,-9,-72,-85,S09W72,S09W85,117,2,120,3,3,3,2,Cao,2,B,237,2,1,110,0
2023-08-03T15:25:00,2023-08-03T00:00:00,1525,72269,HOL,spt,3,3380,-12,-78,-83,S12W78,S12W83,129,4,330,10,4,5,3,Dki,2,B,295,2,1,111,0
2023-08-03T15:25:00,2023-08-03T00:00:00,1525,72269,HOL,spt,3,3386,13,-41,-46,N13W41,N13W46,92,9,270,10,4,5,4,Dkc,2,B,300,2,1,112,0
2023-08-03T15:25:00,2023-08-03T00:00:00,1525,72269,HOL,spt,3,3387,21,-18,-23,N21W18,N21W23,69,3,40,3,7,2,1,Hsx,1,A,301,2,1,113,0
2023-08-03T15:25:00,2023-08-03T00:00:00,1525,72269,HOL,spt,3,3388,-23,-27,-32,S23W27,S23W32,78,0,10,1,1,0,1,Axx,1,A,311,2,1,114,0
2023-08-03T15:25:00,2023-08-03T00:00:00,1525,72269,HOL,spt,3,3391,23,17,12,N23E17,N23E12,34,3,160,1,7,4,1,Hhx,1,A,307,2,1,115,0
2023-08-03T15:25:00,2023-08-03T00:00:00,1525,72269,HOL,spt,3,3392,10,12,7,N10E12,N10E07,39,11,240,9,5,4,3,Ehi,2,B,309,2,1,116,0
2023-08-03T15:25:00,2023-08-03T00:00:00,1525,72269,HOL,spt,3,3393,17,-12,-17,N17W12,N17W17,63,0,0,1,1,0,1,Axx,1,A,308,2,1,117,0
2023-08-03T15:25:00,2023-08-03T00:00:00,1525,72269,HOL,spt,3,3394,-23,66,61,S23E66,S23E61,345,4,230,2,7,4,1,Hhx,1,A,312,2,1,118,0
2023-08-03T15:25:00,2023-08-03T00:00:00,1525,72269,HOL,spt,3,3395,15,80,75,N15E80,N15E75,331,2,120,1,7,2,1,Hsx,1,A,313,2,1,119,0
2023-08-03T05:20:00,2023-08-03T00:00:00,0520,16320,SVI,spt,3,3380,-12,-67,-78,S12W67,S12W78,124,12,220,7,5,3,4,Eac,2,B,259,2,1,120,0
2023-08-03T05:20:00,2023-08-03T00:00:00,0520,16320,SVI,spt,3,3386,13,-34,-45,N13W34,N13W45,91,8,70,4,3,5,2,Cko,2,B,265,2,1,121,0
2023-08-03T05:20:00,2023-08-03T00:00:00,0520,16320,SVI,spt,3,3387,24,-10,-21,N24W10,N24W21,67,6,50,7,3,3,2,Cao,2,B,266,2,1,122,0
2023-08-03T05:20:00,2023-08-03T00:00:00,0520,16320,SVI,spt,3,3388,-23,-17,-28,S23W17,S23W28,74,5,10,2,3,2,2,Cso,2,B,267,2,1,123,0
2023-08-03T05:20:00,2023-08-03T00:00:00,0520,16320,SVI,spt,3,3389,-11,-7,-18,S11W07,S11W18,64,0,0,1,1,0,1,Axx,1,A,268,2,1,124,0
2023-08-03T05:20:00,2023-08-03T00:00:00,0520,16320,SVI,spt,3,3390,-22,6,-5,S22E06,S22W05,51,0,0,1,1,0,1,Axx,1,A,270,2,1,125,0
2023-08-03T05:20:00,2023-08-03T00:00:00,0520,16320,SVI,spt,3,3391,24,23,12,N24E23,N24E12,34,3,40,1,7,2,1,Hsx,1,A,271,2,1,126,0
2023-08-03T05:20:00,2023-08-03T00:00:00,0520,16320,SVI,spt,3,3392,10,22,11,N10E22,N10E11,35,10,110,10,4,5,2,Dko,2,B,274,2,1,127,0
2023-08-03T05:20:00,2023-08-03T00:00:00,0520,16320,SVI,spt,3,,-8,17,6,S08E17,S08E06,40,2,0,2,2,0,2,Bxo,2,B,276,2,1,128,0
2023-08-03T05:20:00,2023-08-03T00:00:00,0520,16320,SVI,spt,3,3394,-22,74,63,S22E74,S22E63,343,4,60,1,7,3,1,Hax,1,A,277,2,1,129,0
2023-08-03T05:20:00,2023-08-03T00:00:00,0520,16320,SVI,spt,3,3393,17,-3,-14,N17W03,N17W14,60,5,0,2,2,0,2,Bxo,2,B,278,2,1,130,0
2023-08-03T03:55:00,2023-08-03T00:00:00,0355,94302,LEA,spt,1,3386,12,-32,-44,N12W32,N12W44,90,8,190,2,4,4,2,Dho,2,B,243,2,1,131,0
2023-08-03T03:55:00,2023-08-03T00:00:00,0355,94302,LEA,spt,1,3387,21,-10,-22,N21W10,N21W22,68,4,60,3,3,2,2,Cso,2,B,244,2,1,132,0
2023-08-03T03:55:00,2023-08-03T00:00:00,0355,94302,LEA,spt,1,3393,16,-4,-16,N16W04,N16W16,62,1,10,1,1,0,1,Axx,1,A,250,2,1,133,0
2023-08-03T03:55:00,2023-08-03T00:00:00,0355,94302,LEA,spt,1,3391,22,23,11,N22E23,N22E11,35,2,110,1,1,0,1,Axx,1,A,248,2,1,134,0
2023-08-03T03:55:00,2023-08-03T00:00:00,0355,94302,LEA,spt,1,3392,8,22,10,N08E22,N08E10,36,7,250,8,4,4,2,Dho,2,B,251,2,1,135,0
2023-08-03T03:55:00,2023-08-03T00:00:00,0355,94302,LEA,spt,1,3394,-20,69,57,S20E69,S20E57,349,3,110,1,7,3,1,Hax,1,A,253,2,1,136,0
2023-08-03T03:55:00,2023-08-03T00:00:00,0355,94302,LEA,spt,1,,-9,18,6,S09E18,S09E06,40,1,20,1,1,0,1,Axx,1,A,254,2,1,137,0
2023-08-03T03:55:00,2023-08-03T00:00:00,0355,94302,LEA,spt,1,3388,-23,-17,-29,S23W17,S23W29,75,1,10,1,1,0,1,Axx,1,A,245,2,1,138,0
2023-08-03T03:55:00,2023-08-03T00:00:00,0355,94302,LEA,spt,1,3380,-11,-59,-71,S11W59,S11W71,117,4,240,5,4,4,2,Dho,3,BG,237,2,1,139,0
2023-08-02T15:25:00,2023-08-02T00:00:00,1525,72269,HOL,spt,2,3380,-11,-61,-66,S11W61,S11W66,125,5,680,7,4,5,4,Dkc,2,B,295,2,1,140,0
2023-08-02T15:25:00,2023-08-02T00:00:00,1525,72269,HOL,spt,2,3386,13,-28,-33,N13W28,N13W33,92,10,300,7,4,4,3,Dhi,2,B,300,2,1,141,0
